NUMBER X_IMAGE Y_IMAGE mean med std sky
13990 1289.3584 2707.6631 892.8502470777173 892.9189451442969 3.3731932056299736 884.975238648139
13993 1016.5845 2707.365 901.6570354190868 899.4216065433787 9.451293051496942 885.0541419617529
13994 1013.5103 2695.2493 902.6112230234788 900.625706030387 7.823536297474471 885.0506339522336
14004 1568.7297 2704.7407 894.9780257910368 893.6082806398241 4.67338142047823 885.148034776911
14051 1763.576 2700.1504 910.8869494721827 910.233908347285 11.260537264047642 885.1679135574328
14110 1345.8927 2694.8354 919.049107692406 921.465218648104 11.585720939938534 885.143565072029
14219 1521.3383 2682.9644 929.9190315974782 926.6167638350821 18.574289832257328 885.1608832060033
14320 1598.1337 2674.4949 918.6981771888989 912.80219089316 20.454825458179414 885.1801190981633
14521 1900.3074 2651.8142 919.7490857754505 916.6680813830947 14.597475151705943 885.409429074697
14587 1809.0349 2648.7385 897.5913849437391 897.2585252308807 5.812617006748047 885.0746732724813
14627 1365.7802 2642.5952 907.8925190482827 905.7519142352623 9.14716779599016 884.6801315775126
14747 644.006 2621.9109 903.929146830055 903.9626555650451 3.549440788971214 887.8864130736629
14827 1091.7407 2625.2095 894.174079051138 894.2102150966177 3.544668747432281 885.3461574064379
14830 620.2756 2572.6479 964.5713522078336 960.7670062532495 16.86914072520962 886.7636670143338
14840 1681.37 2629.3135 896.7320134706939 896.2990878174282 4.718313171934656 885.39218190128
14910 1240.3163 2617.6853 896.5992234300302 896.1451044890555 5.352419569280514 884.5561728457506
14917 1717.4871 2615.7534 900.7631965668544 898.6139923243527 10.90171144667435 885.2377822093856
14918 1725.5768 2602.8474 919.6419721451624 919.7290409541278 5.772345357200891 884.9662835294598
14983 732.5339 2610.835 894.0420035820713 893.2792721231336 4.538639449730938 885.5761312257787
14999 1441.8634 2603.9258 902.7917303922732 902.0166642039633 4.499495087716529 884.1698237646899
15001 1005.4443 2608.3901 902.0103775498397 901.1397644352531 6.970828784131298 886.0615970278869
15003 1013.6156 2588.6313 930.943365171392 929.8325892411891 14.869820788743505 886.2828225052853
15093 1986.1638 2599.2083 900.8677934697431 900.6072882268999 5.288919619177668 885.3275686266635
15118 1191.0503 2598.6885 894.5510848498598 894.742784610843 3.2742009998087807 884.9900302377876
15122 980.2866 2583.5857 939.2499620035534 936.206276436975 14.390832349458275 885.4339462359604
15191 1536.7106 2578.1077 906.1063449751329 908.7394561619727 10.304123607734764 884.5490673909728
15207 801.2647 2585.6167 905.2760429137451 904.3094977410647 8.041388926142778 885.2219605537827
15288 991.111 2596.991 900.6614138774772 900.8512152713054 3.964151767796018 885.1450176484941
15351 1483.7047 2574.9275 893.3990786179743 893.759169891325 3.0721513859974126 884.1054233188621
15413 1991.8824 2568.7302 897.0704646857704 896.4926153976874 5.437456894076979 885.2776024336266
